model_name,output_tokens,layer_strategy,q_bits
meta-llama/Llama-2-7b-chat-hf,100,zero,NA
meta-llama/Llama-2-7b-chat-hf,1000,zero,NA
meta-llama/Llama-2-7b-chat-hf,2000,zero,NA
meta-llama/Llama-2-7b-chat-hf,4000,zero,NA
meta-llama/Llama-2-7b-chat-hf,10000,zero,NA
meta-llama/Llama-2-7b-chat-hf,20000,zero,NA
meta-llama/Llama-2-7b-chat-hf,100,1/4,2
meta-llama/Llama-2-7b-chat-hf,1000,1/4,2
meta-llama/Llama-2-7b-chat-hf,2000,1/4,2
meta-llama/Llama-2-7b-chat-hf,4000,1/4,2
meta-llama/Llama-2-7b-chat-hf,10000,1/4,2
meta-llama/Llama-2-7b-chat-hf,20000,1/4,2
meta-llama/Llama-2-7b-chat-hf,100,1/4,4
meta-llama/Llama-2-7b-chat-hf,1000,1/4,4
meta-llama/Llama-2-7b-chat-hf,2000,1/4,4
meta-llama/Llama-2-7b-chat-hf,4000,1/4,4
meta-llama/Llama-2-7b-chat-hf,10000,1/4,4
meta-llama/Llama-2-7b-chat-hf,20000,1/4,4
meta-llama/Llama-2-7b-chat-hf,100,1/2,2
meta-llama/Llama-2-7b-chat-hf,1000,1/2,2
meta-llama/Llama-2-7b-chat-hf,2000,1/2,2
meta-llama/Llama-2-7b-chat-hf,4000,1/2,2
meta-llama/Llama-2-7b-chat-hf,10000,1/2,2
meta-llama/Llama-2-7b-chat-hf,20000,1/2,2
meta-llama/Llama-2-7b-chat-hf,100,1/2,4
meta-llama/Llama-2-7b-chat-hf,1000,1/2,4
meta-llama/Llama-2-7b-chat-hf,2000,1/2,4
meta-llama/Llama-2-7b-chat-hf,4000,1/2,4
meta-llama/Llama-2-7b-chat-hf,10000,1/2,4
meta-llama/Llama-2-7b-chat-hf,20000,1/2,4
meta-llama/Llama-2-7b-chat-hf,100,3/4,2
meta-llama/Llama-2-7b-chat-hf,1000,3/4,2
meta-llama/Llama-2-7b-chat-hf,2000,3/4,2
meta-llama/Llama-2-7b-chat-hf,4000,3/4,2
meta-llama/Llama-2-7b-chat-hf,10000,3/4,2
meta-llama/Llama-2-7b-chat-hf,20000,3/4,2
meta-llama/Llama-2-7b-chat-hf,100,3/4,4
meta-llama/Llama-2-7b-chat-hf,1000,3/4,4
meta-llama/Llama-2-7b-chat-hf,2000,3/4,4
meta-llama/Llama-2-7b-chat-hf,4000,3/4,4
meta-llama/Llama-2-7b-chat-hf,10000,3/4,4
meta-llama/Llama-2-7b-chat-hf,20000,3/4,4
meta-llama/Llama-2-7b-chat-hf,100,all,2
meta-llama/Llama-2-7b-chat-hf,1000,all,2
meta-llama/Llama-2-7b-chat-hf,2000,all,2
meta-llama/Llama-2-7b-chat-hf,4000,all,2
meta-llama/Llama-2-7b-chat-hf,10000,all,2
meta-llama/Llama-2-7b-chat-hf,20000,all,2
meta-llama/Llama-2-7b-chat-hf,100,all,4
meta-llama/Llama-2-7b-chat-hf,1000,all,4
meta-llama/Llama-2-7b-chat-hf,2000,all,4
meta-llama/Llama-2-7b-chat-hf,4000,all,4
meta-llama/Llama-2-7b-chat-hf,10000,all,4
meta-llama/Llama-2-7b-chat-hf,20000,all,4
