model,layer_strategy,num_bits,layer_set,avg_score,score_diff,cumulative_score_diff,score_percent_diff,cumulative_score_percent_diff
Llama-2-7b-chat-hf,zero,NA,NA,26.84523809523809,,,nan%,nan%
Llama-2-7b-chat-hf,1_4,4,fourth quarter,26.795714285714286,0.049523809523805085,0.049523809523805085,0.18%,0.18%
Llama-2-7b-chat-hf,1_2,4,second quarter,26.73761904761905,0.058095238095237534,0.10761904761904262,0.22%,0.40%
Llama-2-7b-chat-hf,all,4,NA,26.72095238095238,0.016666666666669272,0.12428571428571189,0.06%,0.47%
Llama-2-7b-chat-hf,1_4,4,second quarter,26.697142857142858,0.02380952380952195,0.14809523809523384,0.09%,0.55%
Llama-2-7b-chat-hf,1_2,4,first quarter,26.664761904761907,0.032380952380950845,0.18047619047618468,0.12%,0.68%
Llama-2-7b-chat-hf,1_4,4,first quarter,26.659047619047616,0.005714285714290668,0.18619047619047535,0.02%,0.70%
Llama-2-7b-chat-hf,3_4,4,first quarter,26.65238095238095,0.006666666666667709,0.19285714285714306,0.03%,0.72%
Llama-2-7b-chat-hf,1_4,4,third quarter,26.607142857142858,0.045238095238090636,0.2380952380952337,0.17%,0.89%
Llama-2-7b-chat-hf,3_4,4,second quarter,26.558095238095234,0.04904761904762367,0.28714285714285737,0.18%,1.08%
Llama-2-7b-chat-hf,1_4,2,fourth quarter,26.485714285714288,0.07238095238094644,0.3595238095238038,0.27%,1.36%
Llama-2-7b-chat-hf,1_4,2,first quarter,25.699999999999996,0.7857142857142918,1.1452380952380956,3.06%,4.46%
Llama-2-7b-chat-hf,1_4,2,third quarter,25.625714285714285,0.07428571428571118,1.2195238095238068,0.29%,4.76%
Llama-2-7b-chat-hf,1_2,2,second quarter,25.399047619047614,0.22666666666667012,1.446190476190477,0.89%,5.69%
Llama-2-7b-chat-hf,1_4,2,second quarter,25.37238095238095,0.02666666666666373,1.4728571428571406,0.11%,5.80%
Llama-2-7b-chat-hf,1_2,2,first quarter,23.232380952380954,2.139999999999997,3.6128571428571377,9.21%,15.55%
Llama-2-7b-chat-hf,3_4,2,second quarter,22.80809523809524,0.4242857142857126,4.03714285714285,1.86%,17.70%
Llama-2-7b-chat-hf,3_4,2,first quarter,21.263809523809527,1.5442857142857136,5.581428571428564,7.26%,26.25%
Llama-2-7b-chat-hf,all,2,NA,19.96285714285714,1.3009523809523884,6.882380952380952,6.52%,34.48%
